Make_x,Model,New Price,Decay Coeff,Fit R2,Half-life,Make_y,Body,Listings
Nissan,Rogue,23858,0.126,0.784,5.49,Nissan,SUV,536
Nissan,Rogue Sport,24427,0.14,0.277,4.93,Nissan,SUV,130
Nissan,Sentra,19516,0.133,0.794,5.21,Nissan,Sedan,639
Nissan,Titan,42456,0.127,0.712,5.44,Nissan,Truck,184
Nissan,Versa,14790,0.119,0.755,5.82,NissanNissan,SedanHatchback,223
Nissan,Xterra,56791,0.18,0.773,3.85,Nissan,SUV,124
Pontiac,Firebird,200000,0.142,0.325,4.89,PontiacPontiacPontiac,CoupeConvertibleHatchback,63
Pontiac,G6,18011,0.11,0.091,6.31,PontiacPontiacPontiac,SedanCoupeConvertible,78
Porsche,911,150933,0.082,0.305,8.48,PorschePorsche,CoupeConvertible,787
Porsche,Boxster,121663,0.149,0.59,4.66,Porsche,Convertible,171
Porsche,Cayenne,106121,0.197,0.869,3.51,Porsche,SUV,239
Porsche,Macan,59741,0.096,0.237,7.25,Porsche,SUV,131
Porsche,Panamera,183758,0.252,0.752,2.75,PorschePorschePorschePorsche,HatchbackWagonSedanCoupe,200
RAM,1500,46096,0.147,0.485,4.72,RAM,Truck,756
RAM,2500,60297,0.104,0.484,6.67,RAM,Truck,218
RAM,3500,75156,0.136,0.222,5.11,RAM,Truck,174
RAM,ProMaster,38125,0.153,0.14,4.53,RAM,Van,125
Saturn,Vue,18187,0.118,0.213,5.88,Saturn,SUV,76
Scion,tC,24347,0.135,0.666,5.12,ScionScion,CoupeHatchback,84
Subaru,Crosstrek,27238,0.088,0.666,7.92,Subaru,SUV,96
Subaru,Forester,31644,0.127,0.868,5.46,SubaruSubaru,SUVWagon,279
Subaru,Impreza,22493,0.102,0.744,6.81,SubaruSubaruSubaru,WagonSedanHatchback,142
Subaru,Impreza WRX,30018,0.067,0.222,10.3,SubaruSubaruSubaru,SedanWagonHatchback,124
Subaru,Legacy,22935,0.094,0.748,7.38,SubaruSubaru,SedanWagon,112
Subaru,Outback,35812,0.135,0.894,5.13,SubaruSubaruSubaru,WagonSUVSedan,274
Subaru,WRX,33146,0.079,0.342,8.8,Subaru,Sedan,72
Tesla,Model S,96433,0.14,0.499,4.96,TeslaTesla,HatchbackSedan,253
Tesla,Model X,109083,0.139,0.091,4.98,Tesla,SUV,120
Toyota,4Runner,43151,0.099,0.915,7.03,Toyota,SUV,504
Toyota,Avalon,40326,0.146,0.934,4.75,Toyota,Sedan,189
Toyota,C-HR,24412,0.098,0.267,7.04,Toyota,SUV,83
Toyota,Camry,25050,0.111,0.838,6.23,Toyota,Sedan,1493
Toyota,Corolla,19780,0.102,0.881,6.78,ToyotaToyotaToyota,SedanHatchbackCoupe,1096
Toyota,FJ Cruiser,57666,0.111,0.685,6.25,Toyota,SUV,108
Toyota,Highlander,45145,0.136,0.913,5.09,Toyota,SUV,821
Toyota,Prius,29951,0.126,0.866,5.52,ToyotaToyotaToyota,HatchbackSedanSUV,529
Toyota,Prius Prime,30341,0.067,0.457,10.36,Toyota,Hatchback,66
Toyota,RAV4,29735,0.108,0.857,6.44,Toyota,SUV,806
Toyota,Sequoia,59638,0.133,0.869,5.22,Toyota,SUV,192
Toyota,Sienna,35614,0.126,0.886,5.51,Toyota,Van,575
Toyota,Solara,37740,0.131,0.367,5.31,ToyotaToyota,ConvertibleCoupe,82
Toyota,Tacoma,35795,0.076,0.828,9.14,ToyotaToyota,TruckSUV,772
Toyota,Tundra,47338,0.103,0.871,6.7,Toyota,Truck,570
Toyota,Venza,26420,0.098,0.366,7.09,ToyotaToyota,SUVWagon,94
Toyota,Yaris,17947,0.108,0.916,6.43,ToyotaToyota,SedanHatchback,115
Volkswagen,Beetle,22799,0.104,0.754,6.65,VolkswagenVolkswagenVolkswagen,HatchbackConvertibleCoupe,219
Volkswagen,CC,34257,0.166,0.75,4.18,Volkswagen,Sedan,71
Volkswagen,GTI,32253,0.134,0.892,5.17,VolkswagenVolkswagenVolkswagen,HatchbackCoupeSedan,236
Volkswagen,Golf,26962,0.131,0.771,5.29,VolkswagenVolkswagenVolkswagenVolkswagen,HatchbackWagonCoupeSedan,257
Volkswagen,Golf R,46455,0.123,0.953,5.64,Volkswagen,Hatchback,66
Volkswagen,Jetta,22883,0.131,0.807,5.27,VolkswagenVolkswagen,SedanWagon,675
Volkswagen,Passat,23581,0.122,0.774,5.68,VolkswagenVolkswagen,SedanWagon,482
Volkswagen,Tiguan,27808,0.138,0.842,5.02,Volkswagen,SUV,509
Volkswagen,Touareg,48575,0.163,0.679,4.25,VolkswagenVolkswagen,SUVWagon,94
Volkswagen,e-Golf,44654,0.249,0.928,2.78,Volkswagen,Hatchback,72
Volvo,S60,44250,0.177,0.871,3.92,Volvo,Sedan,120
Volvo,XC60,52543,0.184,0.833,3.78,Volvo,SUV,114
Volvo,XC90,61324,0.181,0.913,3.83,Volvo,SUV,150
smart,fortwo,24880,0.17,0.811,4.08,smartsmart,CoupeConvertible,79
